,Name,Team,Season,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
60,Roschon Johnson,CHI,2023,RB,15,81,352,4.3,29,2,2,23.5,1,0,16
61,Russell Wilson,DEN,2023,QB,15,80,341,4.3,21,2,3,22.7,3,1,38
62,Trevor Lawrence,JAX,2023,QB,16,70,339,4.8,26,3,4,21.2,5,2,23
63,Royce Freeman,LAR,2023,RB,14,77,319,4.1,23,1,2,22.8,0,0,17
64,Jamaal Williams,NO,2023,RB,13,106,306,2.9,17,0,1,23.5,1,0,19
65,Latavius Murray,BUF,2023,RB,16,79,300,3.8,29,2,4,18.8,0,0,27
66,Pierre Strong Jr.,CLE,2023,RB,17,63,291,4.6,40,2,1,17.1,1,1,9
67,Emari Demercado,ARI,2023,RB,14,58,284,4.9,49,1,2,20.3,0,0,12
68,Elijah Mitchell,SF,2023,RB,11,75,281,3.7,18,0,2,25.5,0,0,14
69,Antonio Gibson,WSH,2023,RB,16,65,265,4.1,16,0,1,16.6,1,1,13
70,Sam Howell,WSH,2023,QB,17,48,263,5.5,24,3,5,15.5,2,1,19
71,Bryce Young,CAR,2023,QB,16,39,253,6.5,26,3,0,15.8,2,0,18
72,Jordan Love,GB,2023,QB,17,50,247,4.9,37,4,4,14.5,5,2,16
73,Chris Rodriguez Jr.,WSH,2023,RB,13,51,247,4.8,16,0,2,19.0,1,1,14
74,Kyler Murray,ARI,2023,QB,8,44,244,5.5,33,2,3,30.5,5,0,15
75,Dak Prescott,DAL,2023,QB,17,55,242,4.4,22,1,2,14.2,2,1,21
76,Samaje Perine,DEN,2023,RB,17,53,238,4.5,24,1,1,14.0,1,1,14
77,Justin Herbert,LAC,2023,QB,13,52,228,4.4,35,2,3,17.5,1,0,16
78,Deebo Samuel Sr.,SF,2023,WR,15,37,225,6.1,23,1,5,15.0,0,0,13
79,Clyde Edwards-Helaire,KC,2023,RB,15,70,223,3.2,20,1,1,14.9,0,0,12
80,Dalvin Cook,NYJ,2023,RB,15,67,214,3.2,14,0,0,14.3,2,2,10
81,Zach Wilson,NYJ,2023,QB,12,36,211,5.9,20,2,0,17.6,4,3,7
82,Daniel Jones,NYG,2023,QB,6,40,206,5.2,17,0,1,34.3,1,0,15
83,Jordan Mason,SF,2023,RB,17,40,206,5.2,26,1,3,12.1,0,0,13
84,Tyrod Taylor,NYG,2023,QB,11,38,197,5.2,31,2,0,17.9,3,0,10
85,Tommy DeVito,NYG,2023,QB,9,36,195,5.4,26,1,1,21.7,2,1,7
86,Desmond Ridder,ATL,2023,QB,15,53,193,3.6,23,1,5,12.9,6,3,18
87,Jeff Wilson Jr.,MIA,2023,RB,10,41,188,4.6,15,0,0,18.8,0,0,8
88,Michael CarterARI/,NYJ,2023,RB,15,30,187,6.2,21,1,0,12.5,0,0,9
89,Cordarrelle Patterson,ATL,2023,RB,14,50,181,3.6,18,0,0,12.9,1,0,9
90,Chase Brown,CIN,2023,RB,12,44,179,4.1,31,2,0,14.9,1,0,6
91,Craig Reynolds,DET,2023,RB,17,41,179,4.4,19,0,1,10.5,1,1,11
92,Rondale Moore,ARI,2023,WR,17,28,178,6.4,45,2,1,10.5,0,0,5
93,Chase Edmonds,TB,2023,RB,13,49,176,3.6,21,1,0,13.5,0,0,8
94,Nick Chubb,CLE,2023,RB,2,28,170,6.1,20,1,0,85.0,0,0,8
95,Cam AkersLAR/,MIN,2023,RB,7,60,167,2.8,19,0,2,23.9,0,0,12
96,C.J. Stroud,HOU,2023,QB,15,39,167,4.3,16,0,3,11.1,2,1,18
97,Baker Mayfield,TB,2023,QB,17,62,163,2.6,31,1,1,9.6,3,0,16
98,Trey Sermon,IND,2023,RB,14,35,160,4.6,27,1,0,11.4,0,0,7
99,Kendre Miller,NO,2023,RB,8,41,156,3.8,18,0,1,19.5,0,0,10
100,Geno Smith,SEA,2023,QB,15,37,155,4.2,25,2,1,10.3,1,1,10
101,Matt Breida,NYG,2023,RB,17,55,151,2.7,9,0,1,8.9,0,0,7
102,Easton Stick,LAC,2023,QB,5,27,144,5.3,21,1,1,28.8,0,0,11
103,Brock Purdy,SF,2023,QB,16,39,144,3.7,17,0,2,9.0,2,0,15
104,Deshaun Watson,CLE,2023,QB,6,26,142,5.5,16,0,1,23.7,2,1,10
105,Patrick Taylor Jr.,GB,2023,RB,11,32,141,4.4,24,1,0,12.8,0,0,7
106,Anthony Richardson,IND,2023,QB,4,25,136,5.4,23,1,4,34.0,2,1,8
107,Ty Johnson,BUF,2023,RB,10,30,132,4.4,13,0,0,13.2,1,0,8
108,Tank Bigsby,JAX,2023,RB,17,50,132,2.6,12,0,2,7.8,1,1,12
109,Ronnie Rivers,LAR,2023,RB,9,32,129,4.0,10,0,0,14.3,0,0,4
110,Jake Browning,CIN,2023,QB,9,27,127,4.7,21,1,3,14.1,0,0,12
111,Taylor Heinicke,ATL,2023,QB,5,15,124,8.3,24,1,1,24.8,1,0,5
112,Darrynton EvansCHI/,MIA,2023,RB,7,32,121,3.8,13,0,1,17.3,0,0,10
